Sample.ID,Gender,Birthyear,Postcode,Region,Region.1,Weight,Height,Education.Level,Location.of.Birth
cf14277e502e772a728c09b0d6455263947ce645d23522d677ad5ced6a5d5100,M,"[1975, 1995)",KT,England,Greater London,65.5,1.86,BasicOther,Northern Hemisphere
1c376fd1005a3f78a12005a526814c37c374f5f142afd65676ce1ffc3a5b2186,F,"[1955, 1975)",E,England,Greater London,73.1,1.63,BasicOther,Northern Hemisphere
16308e26dd5a4dcd3c4ab50457647de6fdd5bee8b832233c84a288b4b3d281cc,M,"[1975, 1995)",EN,England,Greater London,76.2,1.16,BasicOther,Northern Hemisphere
5ee1b131b9fe70b25fd3be9b3dd805a6228d3283794111c9cfbf499328013b8a,F,"[1975, 1995)",L,England,North West,73.8,2.0,BasicOther,Northern Hemisphere
45e8a325f30095509d5744464793c8ac73bc9c78cf1665190834f8756db05fab,F,"[1975, 1995)",LE,England,East Midlands,35.4,2.26,Higher,Southern Hemisphere
e6dc134104996e2fe5593bb5883d01fb3ec479204f8832394c45a4b74664e1bf,F,"[1955, 1975)",M,England,North West,93.9,1.64,Higher,Northern Hemisphere
6062e8738cb527ed68291c822dd1035f2088362c6aa8f8c1c12985cfa61180d4,F,"[1995, 2015)",W,England,Greater London,105.4,1.87,BasicOther,Northern Hemisphere
dccba722daf4d6e41efe092b2c6f2b1556b0e6f62354c0a1aad872cd17928c01,M,"[1975, 1995)",TN,England,South East,43.9,1.74,Higher,Southern Hemisphere
d25e1b776486b35a27cd393a67fbdb10a168078c30fcefa65ad2a7c370bac3de,M,"[1975, 1995)",NG,England,East Midlands,81.1,1.37,Higher,Northern Hemisphere
51a8ae9fd14ea7bbe8ac4c290ff6843cf23ac9c6ab231ec01b384950443b5749,M,"[1975, 1995)",N,England,Greater London,60.1,1.53,BasicOther,Southern Hemisphere
18d3d2167362a59d6fa0cdfafdb20fbe541278f6176a806237240b34f3ecd460,M,"[1955, 1975)",B,England,West Midlands,50.1,1.94,BasicOther,Northern Hemisphere
84130f862f108e74e8a4ad3c10e51497ea59821f4a8dcfead4e9a3338bb9152e,M,"[1955, 1975)",BH,England,South West,93.0,2.14,BasicOther,Northern Hemisphere
21ccd65599ecd5cbe3172cff80ad098c4bbb9d8c5866168c79d87aecaffca9e4,M,"[1955, 1975)",DL,England,North East,70.0,1.93,Higher,Northern Hemisphere
22ac88c0c71f7cf956ea4c52f340e99874cb8bfbee8ed10805198480f0378e55,F,"[1975, 1995)",AB,Other,Scotland,49.3,1.95,BasicOther,Southern Hemisphere
dc5c756bfe5b6860d58f45ce363f0b592644260be9ca64a088a8bed52230523f,M,"[1995, 2015)",S,England,East Midlands,52.5,1.4,BasicOther,Northern Hemisphere
c57533c50bbb0f7b55629d7cf09d0dcb4086ffd10c11b41af921afc2774889e4,M,"[1955, 1975)",RH,England,South East,61.1,1.49,BasicOther,Northern Hemisphere
891c22d969d6156cdaabdffc7e9c7f3ddd731c299a930290ccdf78173b9d496a,F,"[1975, 1995)",GU,England,South East,92.3,1.7,BasicOther,Northern Hemisphere
565352f3ea53a1fa503925acd266e9811e59d9212bf6cfd8e394351720590b6b,M,"[1995, 2015)",DG,Other,Scotland,84.0,2.19,BasicOther,Southern Hemisphere
b6b514aa2396f8fe1af14292d40a13e99065cdb8a5d464700867032a837d96b4,F,"[1975, 1995)",B,England,West Midlands,59.0,2.0,Higher,Northern Hemisphere
a5bb411f5484a67cd933167577c72615be0e88dd79dff45ab7450935175b934f,F,"[1995, 2015)",LU,England,East of England,83.4,1.69,BasicOther,Southern Hemisphere
80b1e311b222ada87632a1cf953c4f50f1b24d03aa3c2df56b8a4dbd0d250fd3,M,"[1975, 1995)",NN,England,West Midlands,64.4,1.86,BasicOther,Northern Hemisphere
a84950e50864097d29e5c953c01c321e8a2114ae6e7499f351f22fa115c222ed,F,"[1955, 1975)",ME,England,South East,93.4,2.35,BasicOther,Northern Hemisphere
a6261da9a5b11c1a94dfe9795861032a4259b536d728f688a6f8c21cac14db9f,M,"[1955, 1975)",KY,Other,Scotland,85.2,1.3,BasicOther,Northern Hemisphere
3f0e86f293327d05e7abf51ccf0d4b3b1748ef634388382c80da97c2adf905a6,M,"[1975, 1995)",S,England,East Midlands,74.7,1.99,BasicOther,Northern Hemisphere
1ebfb48f135b9d35ada4934d141cb7b15d7d6a01f2bb476ef3675ef8c16fb251,M,"[1955, 1975)",BB,England,North West,76.3,1.62,Higher,Northern Hemisphere
7b45e2ff2de90ab5b7202c8218502814d1c5ef6f9e7aa93b11f62c76cbcaf964,F,"[1955, 1975)",AL,England,East of England,95.0,1.67,BasicOther,Northern Hemisphere
8263b4dcb35c07a0ee92ee281cbaf4ed47b68414d9647e1f8f228a54154fb347,M,"[1975, 1995)",CW,England,North West,85.8,1.8,BasicOther,Southern Hemisphere
a04babf710b689ec9942629e8813c35d90e3d13ac3eb3f13f4b5298af4f70511,M,"[1975, 1995)",HA,England,Greater London,66.3,1.88,BasicOther,Northern Hemisphere
e21132a71ca5526cd44fa193a915d4f7e995924cc35074ec623444ee6cec7507,M,"[1975, 1995)",G,Other,Scotland,76.9,1.74,BasicOther,Northern Hemisphere
67160a22b3dc7f6de434b46792d660839fcffecea85dc860b35022330d8b0c30,F,"[1975, 1995)",CW,England,North West,55.0,1.89,Higher,Southern Hemisphere
ad2b7a082c88277a8f4a68fe0ada92d9cf0140351068d0c8923129f9bb5ba029,M,"[1975, 1995)",SL,England,South East,93.9,1.6,BasicOther,Northern Hemisphere
e4db85e6ba6c89617a297e33963319c3628559b1067249d5f83a155db14bee94,M,"[1955, 1975)",GY,Other,Channel Islands,75.3,1.23,BasicOther,Northern Hemisphere
b8aa68f712c66fcbd5ccaa49971e238193e27a13c506dba639dab2a81724210e,M,"[1955, 1975)",S,England,East Midlands,39.9,1.31,BasicOther,Northern Hemisphere
a7b62a2cd1a0a437371416f7c30ceb06b8336d94a3251b23941c66c77b0e4fea,M,"[1975, 1995)",RH,England,South East,47.3,1.77,BasicOther,Northern Hemisphere
f64cee5793e26d964ce384116a9100e7de85ada47159ce48ac85793af537dafe,M,"[1975, 1995)",BR,England,Greater London,43.1,1.55,BasicOther,Southern Hemisphere
875b2fecea3dd9b3caf4feb2350cae56eae859b9e97413a2b6be445733b9d08d,M,"[1975, 1995)",LN,England,East Midlands,63.3,1.94,BasicOther,Northern Hemisphere
8b90c4e5a634bbb86bf50d8452d9bffc4e2e416e9557713a00684ad3acc76f8c,M,"[1995, 2015)",G,Other,Scotland,67.1,1.55,BasicOther,Northern Hemisphere
f0e1ee90e7f0a15a6707973d824271ab1b2e0a7b5a5634698e9145067d5e1a51,F,"[1975, 1995)",G,Other,Scotland,40.5,1.73,BasicOther,Northern Hemisphere
441a355266a088f80f53489b1417f2387cd79ba3c85994ff7f22373a8d67e2f3,M,"[1975, 1995)",OL,England,North West,48.0,1.7,BasicOther,Northern Hemisphere
f23a24b6ef63a653a7fb45223733d1c2454e4214191033a14b26dd772099108f,F,"[1975, 1995)",S,England,East Midlands,66.7,1.27,BasicOther,Northern Hemisphere
1bff6f4e16eeaee869f3bd56bfc64734a0340668a5554c0a9bf37c9a62802c25,F,"[1955, 1975)",TQ,England,South West,65.8,1.93,Higher,Southern Hemisphere
859dd27da261f15cf09d67f6a8df24ba2c334a08f3de8bfebb1170dc31f060d6,F,"[1975, 1995)",L,England,North West,71.2,1.15,BasicOther,Northern Hemisphere
8693a7bfbcd713dc0d97520ada3fbf544e03a8c74ef976833297cce1f93a5e54,M,"[1955, 1975)",B,England,West Midlands,103.5,1.7,BasicOther,Northern Hemisphere
8069b3f86d8343e3c44c256528e062fc0d49612779584f26ea73a8d907628493,M,"[1955, 1975)",YO,England,North East,64.2,1.42,BasicOther,Northern Hemisphere
bb39b42d098adc9a789957f015877d684f55d9353a9b89efd977472a60978354,M,"[1995, 2015)",S,England,East Midlands,94.9,1.59,BasicOther,Northern Hemisphere
19e6fe0a747c08c6642536944d7c2de89b53ae7bbe001d32fcb8573a7e611e71,F,"[1975, 1995)",N,England,Greater London,88.5,1.71,BasicOther,Southern Hemisphere
f0307c3238a38bedfbec585f6e583d29bc1a90377f065615ce94438ac43cc166,M,"[1955, 1975)",NR,England,East of England,38.5,1.26,BasicOther,Northern Hemisphere
df6e8a0d9a6d6c4523b4794ccf58e9fd6e4dc168846b108c72de033887f53e08,M,"[1975, 1995)",EC,England,Greater London,49.3,1.55,Higher,Northern Hemisphere
4cc4b47a4b0bc082af777281519cd05b8b3775d363fa3c8ad245ed13b86a7f7c,M,"[1995, 2015)",B,England,West Midlands,74.2,1.79,Higher,Northern Hemisphere
c936922540c2e9f7b5d5e9a606fc77f7b83a0188a9337e4e2d30783f75aee08c,M,"[1975, 1995)",BA,England,South West,36.6,1.73,BasicOther,Northern Hemisphere
a8fc1e14159fcaa45f912a3d193c5b81800dec83d3bcf6b4cb90d8187ba6a7fc,F,"[1975, 1995)",L,England,North West,78.5,1.19,BasicOther,Northern Hemisphere
18d83b5402f3690f3d35d1c7d585bf8d74757074f00141f09dd55890d01e76ed,F,"[1955, 1975)",L,England,North West,97.7,2.22,BasicOther,Southern Hemisphere
eff4da35fd0d8718d5da7218c6d4068f2d1f1cb3a23b781bde734d215b055d96,M,"[1975, 1995)",OX,England,South East,71.8,1.97,BasicOther,Northern Hemisphere
639eb8f2effb837f44c44df58c466fb731b0c2ec53bd072312b2dd468ac1e5ae,M,"[1975, 1995)",TD,Other,Scotland,44.9,1.48,Higher,Southern Hemisphere
9c7460b05a153488926633f8f3ead3a12d8ce7336afccb1c048577b2fb9bb18e,M,"[1975, 1995)",B,England,West Midlands,71.6,1.31,BasicOther,Northern Hemisphere
8800b3fe5098cfc0cb4dd072a953083f5ce9ac2b0945501b5c4a0045a0dc6967,M,"[1955, 1975)",L,England,North West,66.5,1.68,BasicOther,Northern Hemisphere
3aa64a1d9d4252884bdcecd104a614e7cc72bc3718936928304e656d71bc5dd2,F,"[1955, 1975)",LE,England,East Midlands,47.9,1.66,BasicOther,Southern Hemisphere
bf44de032ccfb82000b03f40119be6f78f36904003d9bf882d920db90af400f4,F,"[1975, 1995)",NR,England,East of England,89.6,2.01,BasicOther,Northern Hemisphere
75a24b778b70392b7ce41714e35bd4a21e99dd4e24ec20b62dd23e650a91ba2c,M,"[1955, 1975)",GL,England,South West,64.4,1.74,BasicOther,Northern Hemisphere
54f05b379c2a0e812a7dd977948f66dbe997682942b3dc29169a5b7b55610c52,F,"[1975, 1995)",S,England,East Midlands,100.0,2.1,Higher,Southern Hemisphere
c42bbe50b87c8f717ef3a847bd94512d5a47e4107211ef07ec8dfdc2fe84fdb4,F,"[1995, 2015)",RH,England,South East,62.9,1.97,BasicOther,Northern Hemisphere
a471d5b1ffcddcc438ee30c78329bb6deec6ad205b090a9bc87780f32af216ee,M,"[1955, 1975)",E,England,Greater London,98.5,1.32,BasicOther,Northern Hemisphere
80152e56a3adc6534da5306102dae1b1822a6993f536be3ee041aa155a9e0849,F,"[1975, 1995)",N,England,Greater London,83.8,1.92,BasicOther,Northern Hemisphere
6fc2d7eab17b103907b5f6fb08d7fbcecb0731da6e68fa2c39b4ac0940307015,F,"[1975, 1995)",SS,England,East of England,69.2,1.54,BasicOther,Northern Hemisphere
d376728366289db0b8f89af3f7a8877b29463e77d5537cfb690ec69f9b78f612,M,"[1975, 1995)",M,England,North West,76.2,1.73,BasicOther,Southern Hemisphere
d47e259c7cf8ec755bdb3ee70fae520834d6b9441e31d65c579b6760a738ebd3,M,"[1955, 1975)",W,England,Greater London,50.4,1.73,BasicOther,Southern Hemisphere
68224a073d89818b2f967fd622558af9f11f737aa99fd7bb87bd224e120c5ac4,M,"[1955, 1975)",N,England,Greater London,47.4,1.58,Higher,Northern Hemisphere
7331a832c4e853ae45d41d7f398f1cc8cb7c0c67c062743e0d3f8c15fbf67d72,F,"[1995, 2015)",EH,Other,Scotland,65.1,1.16,BasicOther,Northern Hemisphere
dad8cbd2bf412de3f01560fbc569da3287a16fa567b55825301f6e360b5825f2,F,"[1975, 1995)",G,Other,Scotland,44.5,1.77,BasicOther,Northern Hemisphere
174b2e90770b6092872a116086ba0775c05b5c1912afc796204547f58c7bf317,M,"[1955, 1975)",NP,Other,Wales,64.2,1.61,BasicOther,Southern Hemisphere
336c04efc651171865b175530b16f6bf079e8465fd04afcd0c5010cd71dfd683,M,"[1955, 1975)",E,England,Greater London,41.7,2.33,BasicOther,Northern Hemisphere
4d6a3e6d7f18a5d439f63b68fbf14f8130f959af889c43766391fba78a930d5e,F,"[1955, 1975)",AL,England,East of England,71.1,1.5,BasicOther,Northern Hemisphere
0a646a87ed5d5f0b24ffb4d36446ace17686efb5eb2229f6ae5fb1a353572242,M,"[1995, 2015)",PA,Other,Scotland,54.5,1.44,BasicOther,Northern Hemisphere
ca5094332e20d55ddd62e1a12d23de145f39aa1e588b08b33bceb1e6ba14c241,F,"[1995, 2015)",BR,England,Greater London,51.7,2.28,BasicOther,Northern Hemisphere
2ccbf4be847ab49738b8772fc4b1bd479baa5ac3e63dadcf862fc3e47d46bd01,F,"[1975, 1995)",B,England,West Midlands,61.0,1.45,BasicOther,Northern Hemisphere
66bc2331d3c8654d2e7ee72ccb78b0c4ecd9c95871b4157976e8502bbfab1800,F,"[1955, 1975)",G,Other,Scotland,42.5,1.58,Higher,Southern Hemisphere
8853bbad8908cb5f66da04d18c054d5e31b414b5a93f246cddef1d5dce1b5804,F,"[1955, 1975)",JE,Other,Channel Islands,97.5,2.04,BasicOther,Northern Hemisphere
7dd2160307594ed2572f285262ebaf7b8af29476ea947a322cd4c3f6ed75dc46,F,"[1955, 1975)",S,England,East Midlands,59.0,1.62,Higher,Northern Hemisphere
256854d3c1e8035d4d13a803f73c3be070951875ccb047130722ecce13d99c6d,M,"[1975, 1995)",G,Other,Scotland,56.1,2.11,BasicOther,Northern Hemisphere
6322f2ffa3465471325049522bc4f5402070e4317fd5f96d15c3e3bb212a7901,F,"[1955, 1975)",PA,Other,Scotland,33.0,1.75,BasicOther,Southern Hemisphere
b9c0e7bb49d602ed7985b454b0f92fb78523d0fd4ff7ca3fd28b401a38440523,F,"[1955, 1975)",CT,England,South East,74.3,1.62,BasicOther,Northern Hemisphere
f07d50715e136825cc35fab3be0f750032b07582196aa0fa8849160b485207ec,M,"[1955, 1975)",TQ,England,South West,79.1,1.65,BasicOther,Northern Hemisphere
02fe66c1a817651060e486cd6d85686e9cf4b971ec94ff510ee81a2460aed730,F,"[1955, 1975)",L,England,North West,55.5,1.98,Higher,Northern Hemisphere
73235b88de76f5d58f94900fb01765c8750244cc2a4758268bd23ebb29ac3980,F,"[1975, 1995)",EC,England,Greater London,64.1,1.39,BasicOther,Northern Hemisphere
203725de5856b31ecdb9882bd98f7e1f286b2b1592e71471e5b58df872be1268,F,"[1995, 2015)",G,Other,Scotland,37.9,1.58,BasicOther,Northern Hemisphere
624cdbd2c335a6fc1bfa111b68dd8d23edfdbd9fc91db7072f32011248c3a73e,M,"[1975, 1995)",TW,England,Greater London,56.4,1.68,Higher,Northern Hemisphere
6d7fa6a90fe2f3715018a63d5d910ff4f6140c4656379fd2ae7e71256949cfa4,F,"[1995, 2015)",L,England,North West,78.1,1.52,Higher,Southern Hemisphere
3d754e96f3f0627692b2276b55ea1bcb2ca56b145d6430a63f746a2f1cb45734,M,"[1975, 1995)",G,Other,Scotland,69.5,1.78,BasicOther,Northern Hemisphere
732e1a4037ef7aebee6cad8dc373b9343de2024af9a61824add0a951c43cee7f,F,"[1975, 1995)",N,England,Greater London,41.0,1.53,BasicOther,Northern Hemisphere
6de0f258fc9e9edfe50da40a0e88248424987ec944a1fe1bb155c78f929fef9a,M,"[1975, 1995)",WR,England,West Midlands,28.3,1.63,BasicOther,Southern Hemisphere
56a8aa901ddb520b65379fa8f32a7218b490385ad19898672992d30356dfe778,F,"[1955, 1975)",DL,England,North East,67.9,1.56,Higher,Northern Hemisphere
6083adab0cf3b7a0d5f7e9fcfbb4808536bdc0b56598db63d0833dcbdd007503,M,"[1955, 1975)",G,Other,Scotland,46.1,1.97,BasicOther,Northern Hemisphere
8192eaf86b5c92039d726bb937b5a3c254e99620d79228552fd650fdddc8cffe,M,"[1975, 1995)",HP,England,East of England,56.3,1.6,Higher,Northern Hemisphere
fe47112770a9395fe0cf80037bdb3bb412253230db80dcab1a4d5140a2189341,M,"[1995, 2015)",NE,England,North East,62.0,1.71,BasicOther,Northern Hemisphere
0ddaceb6b1e9f0e6e886f75245987710d483ce7a71799ba995cd3b24ce1c7338,M,"[1955, 1975)",DD,Other,Scotland,59.5,1.53,Higher,Northern Hemisphere
cbb91ff398c4006d60f1de863c5b94c18c0f615aeb3b567224a3a58bbc90f298,M,"[1975, 1995)",W,England,Greater London,54.6,1.63,Higher,Northern Hemisphere
5da21a5a6bf46e72ebd93a192208f4002d64c5e9d99dca6109877131a4f17a1c,F,"[1955, 1975)",HP,England,East of England,107.6,1.12,Higher,Northern Hemisphere
c8fda34a0bb8730e519440ee02c791034ea40c07aef2a77e4fcdef3e3c506e37,F,"[1955, 1975)",M,England,North West,68.1,2.06,BasicOther,Northern Hemisphere
335f128a25f7cb943a808bab446389bf2bc600c45b67707957ab91201982d775,M,"[1955, 1975)",EN,England,Greater London,38.3,1.76,BasicOther,Northern Hemisphere
e0ca98cbca3b2f31691593f06b354b2ce88e69a29b283da8cd4af37e82557dea,F,"[1955, 1975)",TA,England,South West,40.2,1.94,BasicOther,Northern Hemisphere
a5c3cbdef758f2b30a3e289b8d92ceb3816eb60e7cf6aa6e7dbba5972839d262,M,"[1955, 1975)",FY,England,North West,66.8,1.65,BasicOther,Northern Hemisphere
5fad6a3bd001f4a51a75190db12f13ee2325c43085c2be7abd688964828ca019,M,"[1955, 1975)",E,England,Greater London,84.6,1.42,Higher,Northern Hemisphere
2d1571e98a68106040b5a377767b1f6c211c0584c5ba1267824f858ac878667f,M,"[1955, 1975)",M,England,North West,102.0,1.63,BasicOther,Northern Hemisphere
8c6ba2bd7460a2835b85ff778f3198cf962bbb2f011959a77592c4ad58abf3fc,M,"[1955, 1975)",LN,England,East Midlands,61.1,1.54,Higher,Northern Hemisphere
73b565f4771918614890e69a27f0c7d35d2bd40750431f1a7771250caac1b4c1,M,"[1975, 1995)",NE,England,North East,78.7,2.08,BasicOther,Northern Hemisphere
1b780c62c072a17fc04ba84b8ca4ef1436cc67efefd5afb86538d42ad6d0fc7d,M,"[1995, 2015)",NR,England,East of England,54.1,1.58,Higher,Northern Hemisphere
356d10f4f3ac003a532639f9b3a877bf70076c4513ec6ba15b6521f34615a697,M,"[1975, 1995)",BB,England,North West,73.8,1.62,BasicOther,Northern Hemisphere
e82c57b983b3ef2b00834d9ded0f1c04a6ebba59bd5d8a1ffb833ea7f57b1c3f,F,"[1975, 1995)",CH,England,North West,35.7,2.01,Higher,Southern Hemisphere
abe4c9e0e64b1cacea5c350d7174340f71baefb478a3630806802e553f13bfbc,M,"[1975, 1995)",HA,England,Greater London,44.1,1.68,Higher,Northern Hemisphere
65371c5ad1a11b6855bcd86cb8a88c64400491f98ef3a498651b10c6fdb4bbf6,F,"[1955, 1975)",SP,England,South West,43.3,2.14,BasicOther,Northern Hemisphere
7f0feb6c2c44cc6011ffab2c41cd0971b18a2c58e2b83be99192ff1c1118bea4,F,"[1975, 1995)",CA,England,North West,51.7,1.92,Higher,Southern Hemisphere
324fa7adb1a3b9a741032a191a3afe79e0dc23d4abd1eeea18aefa83abfd05a0,M,"[1955, 1975)",HG,England,North East,59.5,1.56,BasicOther,Northern Hemisphere
722919d40bace5ec02dab1510e202d4242ac325a8700d919fb1ae2ef2b4a7207,F,"[1955, 1975)",M,England,North West,90.6,1.53,BasicOther,Northern Hemisphere
028e6581a4ae1400d9095d6fa0e796d6cef345572fa5261c493ec7209b27d082,F,"[1975, 1995)",G,Other,Scotland,75.9,1.61,BasicOther,Northern Hemisphere
7f02c3397395d99b0a48795dabfc767edfcbbf891cf2302b7084796544a22755,F,"[1955, 1975)",SL,England,South East,98.2,1.6,BasicOther,Northern Hemisphere
1b6f90c8029b28bb6c26693e1652e4ab383428852184ff8984b1a0b3130d8520,F,"[1955, 1975)",NE,England,North East,58.3,1.72,BasicOther,Southern Hemisphere
be2088b4869170749e19ea91cd17ac8cdfa2d23c94837d3d73b817c128df3aa3,M,"[1975, 1995)",S,England,East Midlands,92.3,1.96,Higher,Southern Hemisphere
1b83252040a02a2306b557da0fc1457db5f9e51a683048e088376124558fff2e,M,"[1975, 1995)",W,England,Greater London,95.2,1.68,Higher,Northern Hemisphere
4fdd1c63b7e3d801ccccfe94b832b4deff63e4ebb6ada5e36e56a3277ccb7ce7,M,"[1955, 1975)",LN,England,East Midlands,62.9,1.74,BasicOther,Northern Hemisphere
3e752b623aa1aa11bbf3ff2aef9fb1113fd47c06cfa417cb0e0224d0a8565ed6,M,"[1995, 2015)",SY,Other,Wales,100.4,1.89,Higher,Northern Hemisphere
60310ebfb165711a6adb19bff993ac23497612bcc1bfe00c7ef7247a46234d8c,F,"[1975, 1995)",HR,England,West Midlands,86.8,1.94,Higher,Northern Hemisphere
c5c365e54bedccd39629a06139c75eaa3d5cb16078e0d2aeff5eadc9e9c7d5fd,M,"[1955, 1975)",G,Other,Scotland,61.7,1.61,Higher,Southern Hemisphere
68339c76eb75278a2c45d58baa63d53000764199cbc58f441c6726bf0048db6d,F,"[1975, 1995)",ZE,Other,Scotland,34.3,1.92,BasicOther,Northern Hemisphere
0e8cf859e4debb89b8e76718b8bb49e9c5e2befbe1e46271733f44a90ab00442,F,"[1975, 1995)",DT,England,South West,41.4,1.98,BasicOther,Northern Hemisphere
45a7d4e0456893ac3813358f4442dade92624266b026779917f52c15bbd5878f,F,"[1955, 1975)",M,England,North West,71.5,1.95,BasicOther,Northern Hemisphere
887452dba4188430d1e540c79034a5647945a2ee0595f0b78599e956222335be,M,"[1975, 1995)",E,England,Greater London,56.4,1.99,BasicOther,Northern Hemisphere
915837c3675fdac9a4df9f4dcd21d61c9961451f6a677733f9a6c345247785ac,F,"[1995, 2015)",AL,England,East of England,92.2,2.04,BasicOther,Northern Hemisphere
49966222b7f4607ce140768909869a442cca550de729f58dbb87cad6caac38f6,F,"[1975, 1995)",LL,Other,Wales,99.2,1.65,Higher,Northern Hemisphere
12bcd4b1926898fe3c013b8a4fb9fa76aaa149caf32fbd11bf186df93abac419,M,"[1955, 1975)",SR,England,North East,61.4,1.34,BasicOther,Southern Hemisphere
55907dfd51def38545b53bfd6828e1d3877e03c23c4ec7ccd8d2c662fd9c58cf,F,"[1995, 2015)",ZE,Other,Scotland,39.8,1.73,Higher,Northern Hemisphere
da5442549e7c749c9f958f0f1f91c23937233c703d8d5d9807fe152a293a98a4,F,"[1975, 1995)",W,England,Greater London,65.4,1.49,BasicOther,Northern Hemisphere
69a48e22bffe83980f7016ee8186419bdb97c442ba8c7c58669257a4c4ff06bc,M,"[1975, 1995)",WF,England,North East,63.8,1.57,BasicOther,Northern Hemisphere
674ebe34558e1ea78f9255f2da6075ddc28139572f65398ce9494047180de458,F,"[1975, 1995)",CO,England,East of England,102.8,1.32,Higher,Southern Hemisphere
630f46ecc53c6886d4dfac6972f3b8b0ead11926500dff16a95858abd23806ad,F,"[1955, 1975)",S,England,East Midlands,37.1,2.04,BasicOther,Northern Hemisphere
68518a3c60df7340ca8d2655c65e7a5e00ded464ea21cfa1e0601b350dbf63df,F,"[1955, 1975)",L,England,North West,96.5,1.77,BasicOther,Southern Hemisphere
9d696b6d60bf4aad3aeaa22584fe79e951539b8aae951189cb379b41094ba814,M,"[1995, 2015)",DH,England,North East,87.1,1.9,BasicOther,Southern Hemisphere
a8874eb4d043abf5f6f76083477a5e8d1a3db7aae68a2fcf59e00ddacf7eafff,F,"[1975, 1995)",BD,England,North West,79.7,2.02,BasicOther,Southern Hemisphere
dc565aba6699cc6acc8d67f32d08a99512817c3cb37ff1a649527bc392f3a72f,F,"[1955, 1975)",S,England,East Midlands,93.9,1.9,BasicOther,Northern Hemisphere
2c0cf2f9df56b3092cb6d2e039350b0fa2dd1ea89043984ed9033e632d56cbbc,M,"[1955, 1975)",M,England,North West,57.6,1.74,BasicOther,Northern Hemisphere
20d678f6fa570563145a5d7411118068b6a0b50dafacd6478b8637993658bf31,F,"[1995, 2015)",L,England,North West,83.1,1.81,BasicOther,Northern Hemisphere
ba4232dbbcf050c6d5448aeb75cbf99f93191f284dc711c7a8bf6b2b77263e45,F,"[1975, 1995)",PO,England,South East,71.7,1.69,Higher,Southern Hemisphere
40ed6c8d421e704d1ad76d722d1fe2eef0dbb89810cc70a96cc4bc840fe2f247,F,"[1955, 1975)",SG,England,East of England,46.9,1.47,BasicOther,Southern Hemisphere
7417281e83e17b3bf5fddde60c4146e3e0ac83f9fbd08314263c92251783eb30,F,"[1955, 1975)",EH,Other,Scotland,46.9,1.36,BasicOther,Northern Hemisphere
630d31c8616e92d487ea91822ac1bc00ffbb4a0b5b761d4282b4e3e395442aa1,F,"[1995, 2015)",SM,England,Greater London,103.8,1.82,BasicOther,Northern Hemisphere
6ba67ce33954fc4fdb50b624724b355377142e69a9c3bc875a2c173fe330dc63,F,"[1955, 1975)",G,Other,Scotland,44.1,1.29,Higher,Northern Hemisphere
95e70826138a35c4fc4c241dc49115bd1ac74fb779ea156aa82547e142328a08,M,"[1975, 1995)",ME,England,South East,38.7,1.32,BasicOther,Northern Hemisphere
